CodFrota;descricao_especialidade
62285;TRATOR - AGRICOLA
36708;REBOQUE - CANAVIEIRO
36709;REBOQUE - CANAVIEIRO
36710;REBOQUE - CANAVIEIRO
36711;REBOQUE - CANAVIEIRO
36712;REBOQUE - CANAVIEIRO
62201;TRATOR - AGRICOLA
62255;TRATOR - AGRICOLA
62262;TRATOR - AGRICOLA
46001;UTILITARIO - TRANSPORTE
46004;VEICULO - ASSISTENCIA
46005;MAQUINA PESADA - MOTONIVELADORA
46016;UTILITARIO - TRANSPORTE
46018;UTILITARIO - TRANSPORTE
46035;VEICULO - ASSISTENCIA
46037;VEICULO - ASSISTENCIA
46051;VEICULO - COLABORADORES / PARCEIROS
46103;ONIBUS - TRANSPORTE PESSOAL
46104;ONIBUS - TRANSPORTE PESSOAL
46105;ONIBUS - TRANSPORTE PESSOAL
46110;CAMINHAO - TRANSP. ADUBO
46114;ONIBUS - TRANSPORTE PESSOAL
46117;CAMINHAO - CACAMBA
46118;ONIBUS - TRANSPORTE PESSOAL
46119;CAMINHAO - CACAMBA
46120;ONIBUS - TRANSPORTE PESSOAL
46124;ONIBUS - TRANSPORTE PESSOAL
46127;ONIBUS - TRANSPORTE PESSOAL
46129;CAMINHAO - TRANSP. ADUBO
46139;CAMINHAO - TRANSP. ACUCAR
46140;IMPLEMENTO - GUINDASTE
46147;CAMINHAO - BOMBEIRO
46148;CAMINHAO - APOIO INDUSTRIA
46149;CAMINHAO - OFICINA
46155;CAMINHAO - TRANSP. ADUBO
46197;CAMINHAO - PRANCHA
46501;MAQUINA - UNIPORT
46512;TRATOR - AGRICOLA
46513;TRATOR - AGRICOLA
46514;TRATOR - AGRICOLA
46516;TRATOR - AGRICOLA
46517;MAQUINA - UNIPORT
46538;TRATOR - AGRICOLA
46558;TRATOR - AGRICOLA
46559;MAQUINA - UNIPORT
46567;MAQUINA - UNIPORT
46577;TRATOR - AGRICOLA
46578;TRATOR - AGRICOLA
46579;CARREGADEIRA - AGRICOLA
46701;REBOQUE - TANQUE
46702;REBOQUE - PRANCHA
46703;REBOQUE - TANQUE
46704;REBOQUE - TANQUE
46705;REBOQUE - TRANSBORDO
46706;REBOQUE - TRANSBORDO
46707;REBOQUE - TANQUE
46708;REBOQUE - TANQUE
46900;MAQUINA PESADA - EMPILHADEIRA
46901;MAQUINA PESADA - EMPILHADEIRA
46902;MAQUINA PESADA - ESCAVADEIRA HIDRAULICA
46903;MAQUINA PESADA - PA CARREGADEIRA
46904;MAQUINA PESADA - PLATAFORMA PANTOGRAFICA
46905;MAQUINA PESADA - PLATAFORMA PANTOGRAFICA
46906;MAQUINA PESADA - MOTONIVELADORA
46908;MAQUINA PESADA - EMPILHADEIRA
46919;MAQUINA PESADA - RETROESCAVADEIRA
46930;MAQUINA PESADA - EMPILHADEIRA
